charge	min	max	sample1.peak.table	sample2.peak.table	sample.peak.table
pos	1125.3331405426939	1125.3337032092643	0	0	1
pos	1125.8627342301413	1125.8632971615084	0	0	1
pos	1125.8632971615084	1125.863860093157	0	0	1
pos	1125.864423025087	1125.8649859572986	0	0	1
pos	1127.627216059742	1127.6277798733502	0	0	1
pos	1127.6300351306018	1127.6305989456193	0	0	1
pos	1127.6322903923638	1127.6328542085091	0	0	2
pos	1129.3995455171516	1129.4001102169245	0	0	1
pos	1146.4137735947356	1146.4143468016225	0	0	1
pos	1159.4098310227864	1159.410410727702	0	0	2
pos	1160.3864649616723	1160.3870451549049	0	0	1
pos	1164.4415410856288	1164.4421233063995	0	0	1
pos	1173.4282661155119	1173.428852829645	0	0	1
pos	1174.4090748625856	1174.4096620671232	0	0	1
pos	1188.4264285397235	1188.4270227529378	0	0	1
pos	1199.4061997946078	1199.4067994977079	0	0	1
pos	1203.4134976284342	1203.4140993351832	0	0	1
pos	1225.3114976645302	1225.312110320279	0	0	1
pos	1287.387000538316	1287.3876442318162	0	0	1
pos	1295.4862166591545	1295.4868644022629	0	0	1
pos	1296.4925521141233	1296.4932003603994	0	0	1
pos	1296.9976341953254	1296.9982826941425	0	0	1
pos	1343.8633628738467	1343.8640348055283	0	0	2
pos	1343.8660506025885	1343.866722535614	0	0	1
pos	1343.8673944689754	1343.8680664026726	0	0	1
pos	1343.874785758124	1343.875457695517	0	0	1
pos	1353.982934345506	1353.9836113369734	0	0	1
pos	1353.9849653209233	1353.985642313406	0	0	1
pos	1353.986996299387	1353.9876732928853	0	0	1
pos	1353.992412256851	1353.9930892530572	0	0	1
pos	1407.429598364482	1407.4303020792813	0	0	1
